"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"12224",10886,8,"WEIGHT ADIPOSITY CHEST ABDOMEN HIP KNEE ANKLE WRIST",0.719924098018908,0.710429999646668,0.68676411194402,23.3677133323303,1391.16494507678,695.498236771434,1426.17752718222,17.0081085905159,16.9830707244788,0.301437623318633,0.0697076952169093
"12516",10887,8,"HEIGHT ADIPOSITY NECK ABDOMEN KNEE ANKLE BICEPS FOREARM",0.719918778823893,0.710424500139957,0.691390408265795,23.3724683101179,1391.16959806689,695.50255364703,1426.18218017234,17.0084316081187,16.983393266563,0.301443348214963,0.0697090191038354
"11602",10888,8,"AGE CHEST ABDOMEN HIP ANKLE BICEPS FOREARM WRIST",0.719913906480488,0.710419462632369,0.689479052901799,23.3768238347035,1391.17386009398,695.506507805687,1426.18644219943,17.0087274898605,16.9836887127333,0.30144859217778,0.069710231774496
"11619",10889,8,"AGE ABDOMEN HIP THIGH KNEE BICEPS FOREARM WRIST",0.71989508247055,0.710400000520399,0.693774769899388,23.393651145766,1391.19032548648,695.521783856492,1426.20290759193,17.0098706114317,16.9848301514998,0.301468851917289,0.0697149168557121
"11216",10890,8,"AGE HEIGHT CHEST ABDOMEN HIP THIGH ANKLE WRIST",0.71989062512249,0.710395392075795,0.687524650885136,23.39763569436,1391.19422417414,695.525400940129,1426.20680627959,17.0101412918412,16.985100433437,0.301473649232575,0.0697160262387682
"12097",10891,8,"WEIGHT ADIPOSITY NECK CHEST ABDOMEN HIP ANKLE WRIST",0.7198826630214,0.710387160072973,0.686885853356265,23.4047532401002,1391.20118819326,695.531861953646,1426.21377029871,17.0106248046282,16.9855832344384,0.301482218612561,0.06971800791485
"11438",10892,8,"AGE ADIPOSITY CHEST ABDOMEN HIP ANKLE FOREARM WRIST",0.719871860899994,0.71037599177796,0.683282255754421,23.4144095597496,1391.21063590809,695.540627285395,1426.22321801354,17.0112807827134,16.9862382468493,0.301493844624583,0.0697206964395726
"10373",10893,8,"AGE WEIGHT ADIPOSITY NECK CHEST ABDOMEN HIP BICEPS",0.719869242716974,0.710373284842973,0.691001344778183,23.41675002707,1391.2129257596,695.542751750183,1426.22550786505,17.0114397765461,16.9863970066251,0.301496662499528,0.0697213480754424
"12609",10894,8,"HEIGHT ADIPOSITY ABDOMEN HIP KNEE ANKLE BICEPS WRIST",0.719860876423566,0.710364634946399,0.689676963244963,23.4242288916736,1391.22024274006,695.549540262829,1426.23282484551,17.0119478346324,16.9869043167923,0.30150566690006,0.0697234303503788
"11577",10895,8,"AGE NECK ABDOMEN THIGH KNEE ANKLE FOREARM WRIST",0.719825923440235,0.710328497116175,0.691118475406686,23.4554743449557,1391.25080950495,695.577899481472,1426.2633916104,17.0140704168748,16.9890237743527,0.3015432857889,0.0697321297489766
"11571",10896,8,"AGE NECK ABDOMEN HIP KNEE ANKLE BICEPS WRIST",0.719806645094507,0.710308565267202,0.690922639883025,23.4727077995389,1391.2676669968,695.593539609608,1426.28024910225,17.015241128797,16.9901927628541,0.301564034516929,0.0697369279091851
"10630",10897,8,"AGE WEIGHT NECK CHEST ABDOMEN HIP KNEE WRIST",0.719790748197549,0.710292129492381,0.693165799018847,23.4869184821158,1391.28156678852,695.606435677291,1426.29414889397,17.0162064962128,16.9911567091395,0.301581143889079,0.0697408844653909
"11042",10898,8,"AGE HEIGHT ADIPOSITY ABDOMEN HIP KNEE BICEPS WRIST",0.719788141939517,0.710289434886619,0.691645396022438,23.4892482893546,1391.28384555071,695.608549891031,1426.29642765616,17.0163647658794,16.9913147458152,0.301583948929503,0.0697415331332672
"12760",10899,8,"ADIPOSITY NECK CHEST ABDOMEN HIP KNEE BICEPS WRIST",0.719741382030055,0.710241089895481,0.688857068853612,23.5310482854443,1391.32472612635,695.646478701412,1426.3373082318,17.0192043447656,16.9941501445191,0.301634275272738,0.0697531711410147
"10909",10900,8,"AGE HEIGHT ADIPOSITY NECK ABDOMEN THIGH ANKLE WRIST",0.719691540937242,0.710189559274098,0.68939125951787,23.5756026378512,1391.36829296526,695.68690023939,1426.38087507071,17.0222310340053,16.9971723781287,0.301687917804833,0.0697655760201296
"10504",10901,8,"AGE WEIGHT ADIPOSITY CHEST ABDOMEN HIP KNEE WRIST",0.719689158048763,0.710187095609738,0.686446428541741,23.5777327687744,1391.37037568941,695.68883261258,1426.38295779485,17.0223757391575,16.9973168702585,0.301690482439043,0.0697661690938738
"10384",10902,8,"AGE WEIGHT ADIPOSITY NECK CHEST ABDOMEN KNEE WRIST",0.719679391481768,0.710176997972676,0.686117070645856,23.5864633772568,1391.37891181028,695.696752525046,1426.39149391573,17.0229688313544,16.9979090893563,0.30170099391369,0.0697685998809232
"11318",10903,8,"AGE ADIPOSITY NECK CHEST ABDOMEN THIGH FOREARM WRIST",0.719675103947724,0.710172565098495,0.686422111540295,23.5902961243328,1391.38265908314,695.700229293804,1426.39524118859,17.0232291995049,16.9981690742154,0.301705608463042,0.0697696669992088
"10435",10904,8,"AGE WEIGHT ADIPOSITY NECK ABDOMEN HIP ANKLE BICEPS",0.719668711257952,0.710165955707374,0.69162091966135,23.5960107292277,1391.38824614001,695.70541304425,1426.40082824546,17.0236174069911,16.9985567102161,0.301712488730848,0.069771258066727
"12111",10905,8,"WEIGHT ADIPOSITY NECK CHEST ABDOMEN KNEE ANKLE BICEPS",0.71966768769568,0.710164897448076,0.688447302516357,23.596925720284,1391.38914069694,695.706243027507,1426.40172280239,17.0236795646353,16.9986187763572,0.301713590361429,0.0697715128196935
"11435",10906,8,"AGE ADIPOSITY CHEST ABDOMEN HIP KNEE FOREARM WRIST",0.719664955152074,0.710162072275874,0.686009603586844,23.5993684177433,1391.39152882664,695.708458770738,1426.40411093209,17.0238455032185,16.99878447066,0.301716531319378,0.0697721929186077
"11045",10907,8,"AGE HEIGHT ADIPOSITY ABDOMEN HIP ANKLE BICEPS WRIST",0.719660174358265,0.710157129421257,0.68855848325879,23.6036421035745,1391.39570698602,695.712335334025,1426.40828909147,17.0241358254479,16.9990743655021,0.301721676750003,0.0697733828036189
